VehicleID,Lane,Frame,Timestamp
23,1,51,1.7
23,1,52,1.7333333333333334
23,1,53,1.7666666666666666
23,1,54,1.8
23,1,55,1.8333333333333333
23,1,56,1.8666666666666667
23,1,57,1.9
23,1,58,1.9333333333333333
23,1,59,1.9666666666666666
19,3,74,2.466666666666667
19,3,75,2.5
19,3,76,2.533333333333333
19,3,77,2.566666666666667
19,3,78,2.6
19,3,79,2.6333333333333333
19,3,80,2.6666666666666665
19,3,81,2.7
19,3,82,2.7333333333333334
19,3,83,2.7666666666666666
19,3,84,2.8
43,2,100,3.3333333333333335
43,2,101,3.3666666666666667
43,2,102,3.4
43,2,103,3.433333333333333
43,2,104,3.466666666666667
43,2,105,3.5
43,2,106,3.533333333333333
43,2,107,3.566666666666667
43,2,108,3.6
46,1,109,3.6333333333333333
43,2,109,3.6333333333333333
46,1,110,3.6666666666666665
43,2,110,3.6666666666666665
46,1,111,3.7
43,2,111,3.7
43,2,112,3.7333333333333334
43,2,113,3.7666666666666666
43,2,114,3.8
43,2,115,3.8333333333333335
43,2,116,3.8666666666666667
43,2,117,3.9
43,2,118,3.933333333333333
43,2,119,3.966666666666667
43,2,120,4.0
43,2,121,4.033333333333333
43,2,122,4.066666666666666
43,2,123,4.1
63,2,156,5.2
63,2,157,5.233333333333333
63,2,158,5.266666666666667
63,2,159,5.3
54,1,159,5.3
63,2,160,5.333333333333333
54,1,160,5.333333333333333
63,2,161,5.366666666666666
54,1,161,5.366666666666666
63,2,162,5.4
54,1,162,5.4
63,2,163,5.433333333333334
54,1,163,5.433333333333334
63,2,164,5.466666666666667
54,1,164,5.466666666666667
63,2,165,5.5
63,2,166,5.533333333333333
83,1,206,6.866666666666666
83,1,207,6.9
83,1,208,6.933333333333334
83,1,209,6.966666666666667
83,1,210,7.0
83,1,211,7.033333333333333
83,1,212,7.066666666666666
88,1,227,7.566666666666666
88,1,228,7.6
88,1,229,7.633333333333334
88,1,230,7.666666666666667
88,1,231,7.7
88,1,232,7.733333333333333
88,1,233,7.766666666666667
72,1,258,8.6
113,1,259,8.633333333333333
72,1,259,8.633333333333333
72,1,260,8.666666666666666
72,1,261,8.7
72,1,262,8.733333333333333
72,1,263,8.766666666666667
72,1,264,8.8
69,1,283,9.433333333333334
69,1,284,9.466666666666667
69,1,285,9.5
69,1,286,9.533333333333333
69,1,287,9.566666666666666
69,1,288,9.6
69,1,289,9.633333333333333
133,2,297,9.9
133,2,298,9.933333333333334
134,1,299,9.966666666666667
133,2,299,9.966666666666667
133,2,300,10.0
133,2,301,10.033333333333333
133,2,302,10.066666666666666
133,2,303,10.1
133,2,304,10.133333333333333
133,2,305,10.166666666666666
133,2,306,10.2
133,2,307,10.233333333333333
133,2,308,10.266666666666667
133,2,309,10.3
149,1,346,11.533333333333333
149,1,347,11.566666666666666
150,2,349,11.633333333333333
150,2,350,11.666666666666666
110,1,350,11.666666666666666
150,2,351,11.7
110,1,351,11.7
108,1,351,11.7
150,2,352,11.733333333333333
